[2025-07-24T15:22:54.890+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tune_stream_dag.Stage_events scheduled__2023-01-05T09:00:00+00:00 [queued]>
[2025-07-24T15:22:54.897+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tune_stream_dag.Stage_events scheduled__2023-01-05T09:00:00+00:00 [queued]>
[2025-07-24T15:22:54.898+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 4
[2025-07-24T15:22:55.865+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): Stage_events> on 2023-01-05 09:00:00+00:00
[2025-07-24T15:22:55.995+0000] {standard_task_runner.py:60} INFO - Started process 870 to run task
[2025-07-24T15:22:55.999+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'tune_stream_dag', 'Stage_events', 'scheduled__2023-01-05T09:00:00+00:00', '--job-id', '890', '--raw', '--subdir', 'DAGS_FOLDER/etl_pipeline.py', '--cfg-path', '/tmp/tmp8xeydf4j']
[2025-07-24T15:22:56.002+0000] {standard_task_runner.py:88} INFO - Job 890: Subtask Stage_events
[2025-07-24T15:23:06.618+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.618+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.618+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.619+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.619+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.619+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.619+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.619+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.620+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.620+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.620+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.620+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.620+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.621+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.621+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.621+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.621+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.621+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.622+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.622+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.622+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.622+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.623+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.623+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.623+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.624+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.624+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.624+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.624+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.625+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
